Vocal Vibes,Pop Hits of the 80s,15,13,2023-10-11,2023-10-21,images/event/2023-10-10_1696935860748.jpeg,Rose,active
Guitar Fundamentals Workshop,Absolute beginners looking to start playing the guitar.,20,19,2023-11-01,2023-11-11,images/event/2023-10-10_1696939969549.jpeg,Rose,active
Artistic Expressions: 101 Drawing Class,Intermediate artists looking to refine their skills,5,4,2023-11-12,2023-11-30,images/event/2023-10-10_1696943115887.jpeg,Rose,active
Dance with Lisa,Special private group class,50,49,2023-10-10,2023-10-31,images/event/2023-10-10_1696934286148.png,Lisa,active
Spidy Excercise,Spiderman,100,97,2023-10-10,2023-10-15,images/event/2023-10-12_1697086575628.png,Tom,active
Firearms Shooting Basics,Individuals interested in learning safe and responsible firearm handling and shooting.,30,28,2023-12-01,2023-12-20,images/event/2023-10-10_1696945656086.jpeg,Thomas,active
Self-Defense Essentials,Those seeking to enhance their personal safety awareness and confidence.,30,29,2023-10-10,2023-10-24,images/event/2023-10-10_1696947396114.jpeg,Thomas,active
Signature Style Discovery,Anyone interested in enhancing their personal style and confidence through fashion.,20,19,2024-01-01,2024-01-20,images/event/2023-10-10_1696948819708.jpeg,Thomas,active
Storytime,For those who love to read and exchange story,30,29,2023-11-01,2023-11-08,images/event/2023-10-10_1696943206178.png,Anne,active
Game Masters Club,The Game Masters Club is a haven for gamers of all kinds,50,49,2023-11-01,2023-11-20,images/event/2023-10-10_1696954103930.jpeg,IU,active
Screen Scene Explorers,The Screen Scene Explorers club is a community of passionate film enthusiasts who share a love for cinema in all its forms,50,49,2023-12-01,2023-12-20,images/event/2023-10-10_1696955269635.jpeg,IU,active
Music Lovers' Society,The Music Lovers' Society is a gathering of individuals who share an insatiable passion for music in all its forms,50,49,2023-12-01,2023-12-20,images/event/2023-10-10_1696956243152.jpeg,IU,active
Cook with Lisa,Join us for a fun and interactive cooking session,10,9,2023-10-24,2023-10-27,images/event/2023-10-10_1696946912728.png,Lisa,active
Aatroympics,Be healthy and have fun together,30,29,2023-10-11,2023-10-18,images/events/2023-10-11_1696995299475.png,Cha Eun-woo,active
Runway to Success,Aspiring models looking to break into the modeling industry.,20,18,2023-11-01,2023-11-30,images/event/2023-10-11_1696957662603.jpeg,GigiHadid,active
