Jaehyun,Cook with Lisa,Savory Food,Thai,Green Curry is yummy
Jaehyun,Cook with Lisa,Savory Food,Thai,I love Thailand
Zendaya,Music Lovers' Society,Types Of Music,R&B (Rhythm and Blues),I like R&B song
Tom,Screen Scene Explorers,Type Of Movie,Musical,I want to show Musical movie
GigiHadid,Game Masters Club,Board Game,One Night Ultimate Werewolf,I'm not a Warewolf
GigiHadid,Game Masters Club,Board Game,One Night Ultimate Werewolf,I'm a Villager
BenedictCumber,Signature Style Discovery,Dressing Style,Bohemian Style,I will wear this to the festival
Sugar-sugar-rune,Self-Defense Essentials,Types of Combat,Kung Fu,I want to learn Kung Fu
Sugar-sugar-rune,Self-Defense Essentials,Types of Combat,Kung Fu,I like to watch Kung Fu Panda
MagicBoy,Dance with Lisa,Choreographers,Ballet,When I was young I learn Ballet
Gojo,SpideyFit,Indoor Exercise,Jump Rope,Hello
Nanami,Artistic Expressions: 101 Drawing Class,Drawing Techniques,Ink Drawing,Hi nice to meet you
James McAvoy,Guitar Fundamentals Workshop,BLACKPINK's Songs,Pink Venom,I'm Blink
ShawM,Vocal Vibes,Type Of Songs,R&B,I love R&B
Jenna Ortega,Cook with Lisa,Sweet Food,Japan,i luv Mochi
Angle,Music Lovers' Society,Discussing Musics,Emotional impact,I'm sad
KeiraK,Screen Scene Explorers,Discussing Movies,Acting,Hello
Julia Roberts,Storytime,Novelist,Jane Austen,I'm like to read Pride and Prejudice
Rose,Storytime,Favorite actor from Movies based on novels,Little Women,I don't like the ending but I like stroy line
Rose,Storytime,Favorite actor from Movies based on novels,Oppenheimer,Very magnificent
Anne,SpideyFit,Outdoor Exercise,Beach Volleyball,Ohh
Anne,SpideyFit,Outdoor Exercise,Beach Volleyball,My body is so sexy
IU,SpideyFit,Indoor Exercise,Yoga,Hey sis
IU,SpideyFit,Indoor Exercise,Yoga,I like your body
Thomas,SpideyFit,Indoor Exercise,Yoga,Thankyou
Thomas,SpideyFit,Indoor Exercise,Yoga,Your body is so sexy too
Sergio,Cook with Lisa,Vegetarian Food,Mexico,I safe all animals
Sergio,Cook with Lisa,Vegetarian Food,Turkey,I'm yummy
Sergio,Vocal Vibes,Type Of Songs,R&B,But I like you 
Sergio,Vocal Vibes,Type Of Songs,R&B,OOps!
Hanni,Storytime,Novelist,Jane Austen,Me too
Julia Roberts,Storytime,Novelist,Jane Austen,Omg
Julia Roberts,Storytime,Novelist,Jane Austen,We look like twins
